AF-001  Agalega Islands
OC-126  Lubang Islands
OC-127  Rennell Island
OC-128  Palawan Island
OC-129  Visayan Islands
OC-130  Mindanao Island (Main Island Only)
OC-131  King George Islands
OC-132  East Yap Group
OC-133  Sabah's Coastal Islands
OC-134  ZL South Island (Main Island Only)
OC-135  Solomon Islands
OC-136  Victoria State Centre Group
OC-137  QLD State (S Coast) South Group
OC-138  QLD State (Torres Strait) Group
OC-139  S Australia State East Centre Group
OC-140  W Aus State (NW Coast) West Group
OC-141  N Terr (Gulf of Carpentaria) North
OC-142  QLD State (S Coast) Centre Group
OC-143  Sumatra Island (Main Island Only)
OC-144  Bangka and Belitung Islands
OC-145  Halmahera Group
OC-146  Celebes Island (Main Island Only)
OC-147  Irian Jaya's Coastal Islands North
OC-148  Timor Island (Main Island Only)
OC-149  New Georgia Islands
OC-150  Tenggara Barat Islands
OC-151  Tenggara Timur Islands
OC-152  Tubuai Island
OC-153  PNG's Coastal Islands South
OC-154  W Aus State (N Coast) East Group
OC-155  West Chuuk Group
OC-156  Yasawa Group
OC-157  Banda Islands
OC-158  Florida Islands
OC-159  Mangaia Island
OC-160  Qld State (S Coast) North Group
OC-161  Nias & Batu Islands
OC-162  Shortland Islands
OC-163  Vanikolo & Utupua Islands
OC-164  W Aus State (SW Coast) South Group
OC-165  Sarawak's Coastal Islands
OC-166  Kalimantan's Coastal Islands East
OC-167  Kapingamarangi Atoll
OC-168  Russell Islands
OC-169  Ha'apai Group
OC-170  W Aus State (S Coast) East Centre Grou
OC-171  Qld State (N Coast) South Group
OC-172  Qld State (N Coast) Centre Group
OC-173  N Terr (Arafura Sea Coast) West Group
OC-174  Tawi Tawi Group
OC-175  Sarangani Islands
OC-176  Chesterfield Islands
OC-177  Seribu Islands
OC-178  Tikopia & Anuta Islands
OC-179  Duff Islands
OC-180  Ngulu Atoll
OC-181  Witu Islands
OC-182  Ducie Island
OC-183  W Aus State (SW Coast) Centre
OC-184  Brunei's Coastal Islands
OC-185  N Terr (Arafura Sea Coast) East
OC-186  Karimunjawa Islands
OC-187  Qld State (N Coast) North Group
OC-188  Pangutaran Group
OC-189  Ringgold Isles
OC-190  Rose Atoll
OC-191  Niuatoputapu Island
OC-192  Ontong Java Atoll
OC-193  W Aus State (S Coast) West Centre Grou
OC-194  NSW State North Group
OC-195  Furneaux Group
OC-196  Victoria State East Group
OC-197  Bawean Island
OC-198  N Terr (Gulf of Carpentaria) South
OC-199  W Aus State (NW Coast) Centre
OC-200  Swains Island
OC-201  ZL North Island's Coastal Islands
OC-202  Calagua Islands
OC-203  ZL South Island's Coastal Islands
OC-204  Enggano Island
OC-205  Woodlark Group
OC-206  W Aus State (SW Coast) North Group
OC-207  Cagayan Islands
OC-208  Banggai Islands
OC-209  Talaud Islands
OC-210  Sangihe Islands
OC-211  Houtman Abrolhos
OC-212  NSW State Centre Group
OC-213  Togian Islands
OC-214  W Aus State (NW Coast) East Group
OC-215  Mentawai Islands
OC-216  Ashmore & Cartier Islands
OC-217  Kangean Islands
OC-218  Matthew & Hunter Islands
OC-219  Tukangbesi Islands
OC-220  S Australia State West Group
OC-221  Kai Islands
OC-222  Obi Islands
OC-223  NSW State South Group
OC-224  Tanimbar Islands
OC-225  Turtle Islands
OC-226  Mwokil & Pingelap Atolls
OC-227  QLD State (Gulf of Carpentaria) South
OC-228  South Australia State East Group
OC-229  N Terr (Arafura Sea Coast) Centre
OC-230  Rowley Shoals
OC-231  Green Islands
OC-232  East Timor's Coastal Islands
OC-233  Tasmania's Coastal Islands
OC-234  Browse Island
OC-235  Mindanao's Coastal Islands
OC-236  Celebes's Coastal Islands
OC-237  Java's Coastal Islands
OC-238  Pukarua & Reao Atolls
OC-239  Irian Jaya's Costal Islands West
OC-240  P.N.G's Coastal Islands East
OC-241  West Timor's Coastal Islands
OC-242  Bonerate and Take' Bonerate Islands
OC-243  Western Australia State South Coast We
OC-244  Luzon's Coastal Islands
OC-245  Sumatra's Coastal Islands North
OC-246  Leti and Sermata Islands
OC-247  Sabalana and Tengah Islands
OC-248  South Palau group
OC-249  Aru Islands
OC-250  Masalembu Islands
OC-251  VIC State West group
OC-252  Kaliman's Coastal Island West Group
OC-253  Hall Islands
OC-254  Mortlock Islands
OC-255  Queensland State North Group
OC-256  Tulun Islands
OC-257  Nuguria Islands
OC-258  PNG's Coastal Islands North
OC-259  Nukuoro Atoll
OC-260  Oroluk Atoll
OC-261  SA State West Centre group
OC-262  Sumatra's Coastal Islands South
OC-263  Taongi Atoll (aka Bokaak Atoll)
OC-264  Maria Island
OC-265  Coral Sea Islands Territory South
OC-266  Western Australia State (N Coast) Centre Grp
SA-001  Easter Island
SA-002  Falkland Islands
SA-003  Fernando de Noronha Archipelago
SA-004  Galapagos Islands
SA-005  Juan Fernandez Archipelago
SA-006  Bonaire & Curacao Islands
SA-007  Malpelo Island
SA-008  Tierra del Fuego
SA-009  Tobago Island
SA-010  Trindade & Martin Vaz Islands
SA-011  Trinidad Island
SA-012  Nueva Esparta State Group
SA-013  San Felix and San Ambrosio Islands
SA-014  St. Peter and St. Paul Rocks
SA-015  Los Monjes Archipelago
SA-016  Maranhao State Centre Group
SA-017  Cauca/Valle Division Group
SA-018  Los Lagos Province South Group
SA-019  Abrolhos Archipelago
SA-020  French Guiana Group
SA-021  Buenos Aires (Bahia Blanca) Province G
SA-022  Buenos Aires (Bahia Anegada) Province
SA-023  Bahia State North Group
SA-024  Sao Paulo State West Group
SA-025  Piaui State Group
SA-026  Santa Catarina State Centre Group
SA-027  Santa Catarina State North Group
SA-028  Sao Paulo State East Group
SA-029  Rio De Janeiro State West Group
SA-030  San Jose/Montevideo/Canelones Departme
SA-031  Wollaston Islands
SA-032  Magallanes & Antartica Chilena Prov No
SA-033  Manabi Province Group
SA-034  Guayas/El Oro Province Group
SA-035  Los Roques Islands
SA-036  Aruba Island
SA-037  Blanquilla Group
SA-038  Atol Das Rocas
SA-039  Maldonado/Rocha Department Group
SA-040  Bolivar/Atlantico Division Group
SA-041  Maranhao State West Group
SA-042  Para State West Group
SA-043  Aisen Province North Group
SA-044  La Tortuga Island
SA-045  Amapa State Group
SA-046  Pernambuco State Group
SA-047  Parana State Group
SA-048  Sucre State East Group
SA-049  Tierra Del Fuego's Coastal Islands
SA-050  Tierra Del Fuego's Coastal Islands
SA-051  Las Aves Islands
SA-052  Lima Department Group
SA-053  Aisen Province South Group
SA-054  Orchila Island
SA-055  Buenos Aires (Delta Del Parana) Provin
SA-056  Esmeraldas Province Group
SA-057  Colonia Department Group
SA-058  Carabobo To Miranda State Group
SA-059  Los Testigos Group
SA-060  Para State East Group
SA-061  La Araucania Prov/Los Lagos Prov North
SA-062  Bahia State South Group
SA-063  Monagas/Delta Amacuro State Group
SA-064  Aisen Province Centre Group
SA-065  Chubut Province South Group
SA-066  Zulia State Group
SA-067  Espirito Santo State Group
SA-068  Guyana Group
SA-069  Antofagasta Province Group
SA-070  Bio-Bio Province Group
SA-071  Sao Paulo State Centre Group
SA-072  Maranhao State East Group
SA-073  Ica Department Group
SA-074  Ancash Department Group
SA-075  La Libertad Department Group
SA-076  Tumbes/Piura/Lambayeque Dept Group
SA-077  Rio De Janeiro State East Group
SA-078  Cordoba/Sucre Division Group
SA-079  Rio De Janeiro State Centre Group
SA-080  Bahia State Centre Group
SA-081  Narino Division Group
SA-082  Magdalena/Guajira Division Group
SA-083  Salas Y Gomez Island
SA-084  Choco South Division Group
SA-085  Atacama Province Group
SA-086  Coquimbo/Valparaiso Province Group
SA-087  Santa Cruz Province North Group
SA-088  Santa Catarina State South Group
SA-089  Falcon State Group
SA-090  Anzoategui State/Sucre State West grp
SA-091  Magallanes & Antartica Chilena Prov. S
SA-092  Suriname group
SA-093  Choco Div. North/Antioquia Div. group
